phase,context,init_name,init_mode,partial_init_mode,broyden_iterations,miou,notes
phase1_three_scale,2f,only_scale0_previous,partial,only_high_resolution_previous,2,0.1071,"full_sweep_runner, 14.6 min"
phase1_leave_one_scale,5f,drop_scale2_previous,partial,drop_scale2_previous,1,0.1658,"full_sweep_runner, 18.5 min"
phase1_two_scale,1f,scale0_scale3_previous,partial,scale0_scale3_previous,1,0.0342,"full_sweep_runner, 7.8 min"
phase0_global,10f,previous,previous,,1,0.4491,"full_sweep_runner, 30.3 min"
phase1_two_scale,1f,scale1_scale2_previous,partial,scale1_scale2_previous,1,0.1051,"full_sweep_runner, 7.8 min"
phase1_three_scale,2f,only_scale1_previous,partial,only_scale1_previous,2,0.2489,"full_sweep_runner, 14.4 min"
phase1_two_scale,1f,scale1_scale3_previous,partial,scale1_scale3_previous,1,0.0927,"full_sweep_runner, 8.0 min"
phase1_leave_one_scale,5f,drop_scale3_previous,partial,drop_scale3_previous,1,0.1605,"full_sweep_runner, 18.6 min"
phase1_two_scale,1f,scale2_scale3_previous,partial,coarse_previous_fine_zero,1,0.0613,"full_sweep_runner, 7.9 min"
phase1_three_scale,2f,only_scale2_previous,partial,only_scale2_previous,2,0.1954,"full_sweep_runner, 14.3 min"
phase1_three_scale,1f,only_scale0_previous,partial,only_high_resolution_previous,1,0.0204,"full_sweep_runner, 8.0 min"
phase1_two_scale,5f,scale0_scale1_previous,partial,fine_previous_coarse_zero,1,0.0954,"full_sweep_runner, 18.3 min"
phase0_global,10f,zero,zero,,1,0.0218,"full_sweep_runner, 31.3 min"
phase1_three_scale,1f,only_scale1_previous,partial,only_scale1_previous,1,0.0958,"full_sweep_runner, 8.0 min"
phase1_three_scale,2f,only_scale3_previous,partial,only_low_resolution_previous,2,0.1913,"full_sweep_runner, 14.2 min"
phase1_three_scale,1f,only_scale2_previous,partial,only_scale2_previous,1,0.0384,"full_sweep_runner, 8.1 min"
phase1_two_scale,5f,scale0_scale2_previous,partial,scale0_scale2_previous,1,0.0239,"full_sweep_runner, 18.8 min"
phase1_three_scale,1f,only_scale3_previous,partial,only_low_resolution_previous,1,0.0366,"full_sweep_runner, 8.0 min"
phase1_two_scale,2f,scale0_scale1_previous,partial,fine_previous_coarse_zero,4,0.5779,"full_sweep_runner, 22.3 min"
phase0_global,1f,previous,previous,,2,0.3956,"full_sweep_runner, 10.4 min"
phase0_global,10f,stale_k2,stale,,1,0.3594,"full_sweep_runner, 30.5 min"
phase1_two_scale,5f,scale0_scale3_previous,partial,scale0_scale3_previous,1,0.0522,"full_sweep_runner, 19.0 min"
phase0_global,1f,zero,zero,,2,0.1065,"full_sweep_runner, 10.7 min"
phase1_two_scale,2f,scale0_scale2_previous,partial,scale0_scale2_previous,4,0.5330,"full_sweep_runner, 22.3 min"
phase0_global,1f,stale_k2,stale,,2,0.3956,"full_sweep_runner, 10.5 min"
phase1_two_scale,5f,scale1_scale2_previous,partial,scale1_scale2_previous,1,0.1493,"full_sweep_runner, 19.2 min"
phase1_leave_one_scale,1f,drop_scale0_previous,partial,drop_scale0_previous,2,0.3817,"full_sweep_runner, 10.5 min"
