phase,context,init_name,init_mode,partial_init_mode,broyden_iterations,miou,notes
phase1_leave_one_scale,20f,drop_scale3_previous,partial,drop_scale3_previous,1,0.1632,"full_sweep_runner, 60.2 min"
phase1_two_scale,10f,scale0_scale2_previous,partial,scale0_scale2_previous,4,0.5365,"full_sweep_runner, 49.7 min"
phase1_three_scale,5f,only_scale0_previous,partial,only_high_resolution_previous,8,0.7359,"full_sweep_runner, 81.8 min"
phase1_two_scale,20f,scale0_scale1_previous,partial,fine_previous_coarse_zero,1,0.0953,"full_sweep_runner, 62.0 min"
phase1_two_scale,10f,scale0_scale3_previous,partial,scale0_scale3_previous,4,0.5125,"full_sweep_runner, 49.6 min"
phase1_two_scale,20f,scale0_scale2_previous,partial,scale0_scale2_previous,1,0.0244,"full_sweep_runner, 60.9 min"
phase1_two_scale,10f,scale1_scale2_previous,partial,scale1_scale2_previous,4,0.6522,"full_sweep_runner, 49.8 min"
phase1_three_scale,5f,only_scale1_previous,partial,only_scale1_previous,8,0.7552,"full_sweep_runner, 80.9 min"
phase1_two_scale,10f,scale1_scale3_previous,partial,scale1_scale3_previous,4,0.6424,"full_sweep_runner, 49.7 min"
phase1_two_scale,20f,scale0_scale3_previous,partial,scale0_scale3_previous,1,0.0474,"full_sweep_runner, 61.0 min"
phase1_three_scale,5f,only_scale2_previous,partial,only_scale2_previous,8,0.7468,"full_sweep_runner, 81.0 min"
phase1_two_scale,10f,scale2_scale3_previous,partial,coarse_previous_fine_zero,4,0.5843,"full_sweep_runner, 49.9 min"
phase1_two_scale,20f,scale1_scale2_previous,partial,scale1_scale2_previous,1,0.1484,"full_sweep_runner, 60.9 min"
phase1_three_scale,10f,only_scale0_previous,partial,only_high_resolution_previous,4,0.4399,"full_sweep_runner, 49.7 min"
phase1_three_scale,5f,only_scale3_previous,partial,only_low_resolution_previous,8,0.7471,"full_sweep_runner, 81.0 min"
phase1_two_scale,20f,scale1_scale3_previous,partial,scale1_scale3_previous,1,0.1596,"full_sweep_runner, 59.3 min"
phase1_three_scale,10f,only_scale1_previous,partial,only_scale1_previous,4,0.5616,"full_sweep_runner, 50.0 min"
phase1_two_scale,20f,scale2_scale3_previous,partial,coarse_previous_fine_zero,1,0.0797,"full_sweep_runner, 39.2 min"
phase1_three_scale,10f,only_scale2_previous,partial,only_scale2_previous,4,0.5052,"full_sweep_runner, 50.5 min"
phase1_three_scale,20f,only_scale0_previous,partial,only_high_resolution_previous,1,0.0203,"full_sweep_runner, 38.5 min"
phase1_three_scale,20f,only_scale1_previous,partial,only_scale1_previous,1,0.0942,"full_sweep_runner, 38.6 min"
phase1_three_scale,10f,only_scale3_previous,partial,only_low_resolution_previous,4,0.4773,"full_sweep_runner, 50.4 min"
phase1_three_scale,20f,only_scale2_previous,partial,only_scale2_previous,1,0.0292,"full_sweep_runner, 38.8 min"
phase1_three_scale,20f,only_scale3_previous,partial,only_low_resolution_previous,1,0.0564,"full_sweep_runner, 38.6 min"
phase0_global,10f,previous,previous,,8,0.7808,"full_sweep_runner, 88.2 min"
phase0_global,20f,previous,previous,,2,0.5793,"full_sweep_runner, 53.8 min"
phase0_global,20f,zero,zero,,2,0.1065,"full_sweep_runner, 54.3 min"
phase0_global,10f,zero,zero,,8,0.7325,"full_sweep_runner, 88.3 min"
phase0_global,20f,stale_k2,stale,,2,0.5195,"full_sweep_runner, 53.8 min"
phase0_global,10f,stale_k2,stale,,8,0.7748,"full_sweep_runner, 87.8 min"
phase1_leave_one_scale,20f,drop_scale0_previous,partial,drop_scale0_previous,2,0.5875,"full_sweep_runner, 54.2 min"
phase1_leave_one_scale,20f,drop_scale1_previous,partial,drop_scale1_previous,2,0.4054,"full_sweep_runner, 53.9 min"
phase1_leave_one_scale,10f,drop_scale0_previous,partial,drop_scale0_previous,8,0.7786,"full_sweep_runner, 88.0 min"
phase1_leave_one_scale,20f,drop_scale2_previous,partial,drop_scale2_previous,2,0.4654,"full_sweep_runner, 53.9 min"
phase1_leave_one_scale,10f,drop_scale1_previous,partial,drop_scale1_previous,8,0.7699,"full_sweep_runner, 88.0 min"
phase1_leave_one_scale,20f,drop_scale3_previous,partial,drop_scale3_previous,2,0.4503,"full_sweep_runner, 53.9 min"
phase1_two_scale,20f,scale0_scale1_previous,partial,fine_previous_coarse_zero,2,0.2652,"full_sweep_runner, 53.9 min"
phase1_leave_one_scale,10f,drop_scale2_previous,partial,drop_scale2_previous,8,0.7744,"full_sweep_runner, 87.9 min"
phase1_two_scale,20f,scale0_scale2_previous,partial,scale0_scale2_previous,2,0.2379,"full_sweep_runner, 54.0 min"
phase1_two_scale,20f,scale0_scale3_previous,partial,scale0_scale3_previous,2,0.2205,"full_sweep_runner, 54.1 min"
phase1_leave_one_scale,10f,drop_scale3_previous,partial,drop_scale3_previous,8,0.7731,"full_sweep_runner, 87.8 min"
phase1_two_scale,20f,scale1_scale2_previous,partial,scale1_scale2_previous,2,0.4277,"full_sweep_runner, 53.7 min"
phase1_two_scale,10f,scale0_scale1_previous,partial,fine_previous_coarse_zero,8,0.7573,"full_sweep_runner, 87.8 min"
phase1_two_scale,20f,scale1_scale3_previous,partial,scale1_scale3_previous,2,0.4478,"full_sweep_runner, 54.1 min"
phase1_two_scale,20f,scale2_scale3_previous,partial,coarse_previous_fine_zero,2,0.3330,"full_sweep_runner, 53.4 min"
phase1_two_scale,10f,scale0_scale2_previous,partial,scale0_scale2_previous,8,0.7548,"full_sweep_runner, 86.4 min"
phase1_three_scale,20f,only_scale0_previous,partial,only_high_resolution_previous,2,0.1059,"full_sweep_runner, 53.4 min"
phase1_three_scale,20f,only_scale1_previous,partial,only_scale1_previous,2,0.2504,"full_sweep_runner, 54.1 min"
phase1_two_scale,10f,scale0_scale3_previous,partial,scale0_scale3_previous,8,0.7522,"full_sweep_runner, 87.6 min"
phase1_three_scale,20f,only_scale2_previous,partial,only_scale2_previous,2,0.2060,"full_sweep_runner, 54.3 min"
phase1_two_scale,10f,scale1_scale2_previous,partial,scale1_scale2_previous,8,0.7699,"full_sweep_runner, 89.7 min"
phase1_three_scale,20f,only_scale3_previous,partial,only_low_resolution_previous,2,0.1925,"full_sweep_runner, 53.6 min"
phase1_two_scale,10f,scale1_scale3_previous,partial,scale1_scale3_previous,8,0.7681,"full_sweep_runner, 89.5 min"
phase0_global,20f,previous,previous,,4,0.7161,"full_sweep_runner, 87.7 min"
phase1_two_scale,10f,scale2_scale3_previous,partial,coarse_previous_fine_zero,8,0.7609,"full_sweep_runner, 87.8 min"
phase0_global,20f,zero,zero,,4,0.4233,"full_sweep_runner, 88.6 min"
phase1_three_scale,10f,only_scale0_previous,partial,only_high_resolution_previous,8,0.7360,"full_sweep_runner, 88.0 min"
phase0_global,20f,stale_k2,stale,,4,0.6725,"full_sweep_runner, 87.8 min"
phase1_three_scale,10f,only_scale1_previous,partial,only_scale1_previous,8,0.7549,"full_sweep_runner, 87.1 min"
phase1_leave_one_scale,20f,drop_scale0_previous,partial,drop_scale0_previous,4,0.6994,"full_sweep_runner, 88.4 min"
phase1_three_scale,10f,only_scale2_previous,partial,only_scale2_previous,8,0.7467,"full_sweep_runner, 87.6 min"
phase1_leave_one_scale,20f,drop_scale1_previous,partial,drop_scale1_previous,4,0.6270,"full_sweep_runner, 87.7 min"
phase1_three_scale,10f,only_scale3_previous,partial,only_low_resolution_previous,8,0.7484,"full_sweep_runner, 88.2 min"
phase1_leave_one_scale,20f,drop_scale2_previous,partial,drop_scale2_previous,4,0.6689,"full_sweep_runner, 88.0 min"
phase1_leave_one_scale,20f,drop_scale3_previous,partial,drop_scale3_previous,4,0.6703,"full_sweep_runner, 87.2 min"
phase1_two_scale,20f,scale0_scale1_previous,partial,fine_previous_coarse_zero,4,0.5780,"full_sweep_runner, 87.2 min"
phase1_two_scale,20f,scale0_scale2_previous,partial,scale0_scale2_previous,4,0.5367,"full_sweep_runner, 87.2 min"
phase1_two_scale,20f,scale0_scale3_previous,partial,scale0_scale3_previous,4,0.5080,"full_sweep_runner, 87.4 min"
phase1_two_scale,20f,scale1_scale2_previous,partial,scale1_scale2_previous,4,0.6524,"full_sweep_runner, 87.3 min"
phase1_two_scale,20f,scale1_scale3_previous,partial,scale1_scale3_previous,4,0.6431,"full_sweep_runner, 87.1 min"
phase1_two_scale,20f,scale2_scale3_previous,partial,coarse_previous_fine_zero,4,0.5825,"full_sweep_runner, 84.5 min"
phase1_three_scale,20f,only_scale0_previous,partial,only_high_resolution_previous,4,0.4400,"full_sweep_runner, 84.3 min"
phase1_three_scale,20f,only_scale1_previous,partial,only_scale1_previous,4,0.5613,"full_sweep_runner, 84.6 min"
phase1_three_scale,20f,only_scale2_previous,partial,only_scale2_previous,4,0.5052,"full_sweep_runner, 85.0 min"
phase1_three_scale,20f,only_scale3_previous,partial,only_low_resolution_previous,4,0.4772,"full_sweep_runner, 85.7 min"
phase0_global,20f,previous,previous,,8,0.7817,"full_sweep_runner, 159.2 min"
phase0_global,20f,zero,zero,,8,0.7325,"full_sweep_runner, 155.5 min"
phase0_global,20f,stale_k2,stale,,8,0.7752,"full_sweep_runner, 155.1 min"
phase1_leave_one_scale,20f,drop_scale0_previous,partial,drop_scale0_previous,8,0.7795,"full_sweep_runner, 155.5 min"
phase1_leave_one_scale,20f,drop_scale1_previous,partial,drop_scale1_previous,8,0.7687,"full_sweep_runner, 153.7 min"
phase1_leave_one_scale,20f,drop_scale2_previous,partial,drop_scale2_previous,8,0.7762,"full_sweep_runner, 154.0 min"
phase1_leave_one_scale,20f,drop_scale3_previous,partial,drop_scale3_previous,8,0.7728,"full_sweep_runner, 152.9 min"
phase1_two_scale,20f,scale0_scale1_previous,partial,fine_previous_coarse_zero,8,0.7569,"full_sweep_runner, 152.4 min"
phase1_two_scale,20f,scale0_scale2_previous,partial,scale0_scale2_previous,8,0.7551,"full_sweep_runner, 153.0 min"
phase1_two_scale,20f,scale0_scale3_previous,partial,scale0_scale3_previous,8,0.7530,"full_sweep_runner, 156.1 min"
phase1_two_scale,20f,scale1_scale2_previous,partial,scale1_scale2_previous,8,0.7696,"full_sweep_runner, 155.5 min"
phase1_two_scale,20f,scale1_scale3_previous,partial,scale1_scale3_previous,8,0.7678,"full_sweep_runner, 156.4 min"
phase1_two_scale,20f,scale2_scale3_previous,partial,coarse_previous_fine_zero,8,0.7586,"full_sweep_runner, 156.7 min"
phase1_three_scale,20f,only_scale0_previous,partial,only_high_resolution_previous,8,0.7361,"full_sweep_runner, 156.7 min"
phase1_three_scale,20f,only_scale1_previous,partial,only_scale1_previous,8,0.7547,"full_sweep_runner, 156.5 min"
phase1_three_scale,20f,only_scale2_previous,partial,only_scale2_previous,8,0.7467,"full_sweep_runner, 156.3 min"
phase1_three_scale,20f,only_scale3_previous,partial,only_low_resolution_previous,8,0.7457,"full_sweep_runner, 154.9 min"
